County,State,Year,Number of Incidents,Total Killed,Total Injured,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
Cook, IL,2017,3272,722,3044,41.7496,-87.5714,5238541,36.4,59426,33722,821572,15.6832217,4.5929773
Baltimore, MD,2017,1165,319,681,39.2946,-76.6745,828637,39.2,71810,37270,73560,8.877228509,2.944473877
District of Columbia, DC,2017,1142,100,340,38.9552,-77.0225,672391,33.9,77649,50832,111025,16.51197,4.6519064
Milwaukee, WI,2017,849,112,392,42.9655,-87.8576,956586,34.6,46784,26933,191973,20.0685563,3.6515274
Los Angeles, CA,2017,792,406,366,33.8127,-118.263,10105722,36,61015,30798,1688505,16.7084054,4.0217413
Duval, FL,2017,791,115,315,30.4548,-81.7599,912043,36,51296,28593,143014,15.6806203,3.7823875
St. Louis, MO,2017,769,311,525,38.6904,-90.2433,314867,35.2,38664,26739,76472,24.2870799,4.9852795
Orleans, LA,2017,716,154,503,29.9497,-90.0887,388182,35.9,38721,29275,95346,24.5621899,4.3672813
Shelby, TN,2017,662,172,500,35.0759,-90.0131,937847,35.3,48415,28117,191520,20.4212414,4.307419
Harris, TX,2017,641,305,438,29.7035,-95.5973,4525519,33.1,57791,30856,751985,16.6165472,3.2966827
Philadelphia, PA,2017,570,223,454,39.9294,-75.1616,1569657,34.1,40649,24811,393924,25.0961834,5.4189546
Cuyahoga, OH,2017,550,142,357,41.4261,-81.7204,1257401,40.4,46720,30441,225265,17.9151281,4.5862855
Suffolk, MA,2017,538,52,185,42.2802,-71.0759,780685,32.6,61242,38031,144661,18.5300089,4.1699277
Wayne, MI,2017,502,181,374,42.417,-83.1539,1763822,37.9,43702,24847,413769,23.4586597,5.3649405
Marion, IN,2017,428,158,234,39.7529,-86.1236,939964,34.3,44869,26284,182317,19.3961684,4.1752663
Jefferson, AL,2017,389,159,254,33.4527,-86.8918,659460,37.6,49321,29456,113368,17.1910351,3.7976526
Peoria, IL,2017,382,13,70,40.7655,-89.6122,186145,37,53063,29683,28747,15.4433372,4.0946574
Franklin, OH,2017,372,132,266,39.9503,-82.9577,1253507,34,56319,31199,203877,16.2645282,3.1182115
Palm Beach, FL,2017,372,97,161,26.6759,-80.2093,1426772,44.4,57256,36303,189156,13.2576193,3.6748689
Bexar, TX,2017,368,114,258,29.5797,-98.3735,1892004,33.3,53999,26158,304792,16.1094797,3.004222
Maricopa, AZ,2017,352,187,202,33.4715,-112.185,4155501,36,58580,30186,644476,15.5089844,2.9890499
San Joaquin, CA,2017,349,42,108,37.9548,-121.271,724153,33.9,57813,24694,121296,16.7500514,4.5944711
Davidson, TN,2017,345,90,229,36.0928,-86.6303,678322,34.3,53419,32347,111103,16.3790943,2.9962171
Pulaski, AR,2017,344,62,247,34.7275,-92.2663,392848,36.7,48850,29855,67056,17.0691972,2.8924673
Jefferson, KY,2017,343,107,223,38.2004,-85.7987,764378,38,52237,31039,112275,14.6884133,3.3441569
Clark, NV,2017,341,166,170,36.2766,-115.08,2112436,36.9,54882,27719,304449,14.4122236,4.2056185
Mecklenburg, NC,2017,339,82,219,35.3465,-80.8415,1034290,34.9,61695,35669,136399,13.187694,3.7739899
Hamilton, OH,2017,338,86,248,39.2013,-84.4603,808703,36.9,52389,32638,134499,16.6314457,3.6567195
Jackson, MO,2017,334,149,196,39.0979,-94.5221,688554,36.6,50652,28965,108026,15.6888203,2.951112
Fulton, GA,2017,333,118,230,33.7222,-84.4274,1010420,35.2,61336,41041,156519,15.4904891,4.1348152
Miami-Dade, FL,2017,332,125,245,25.8028,-80.2155,2702602,39.5,46338,25481,505182,18.6924305,3.7359552
Alameda, CA,2017,330,76,215,37.7663,-122.18,1629615,37.3,85743,41363,181194,11.1188225,3.2630407
Allegheny, PA,2017,327,98,214,40.368,-79.8939,1229605,40.9,56333,35280,149568,12.1639063,3.196555
Tulsa, OK,2017,320,76,154,36.2258,-95.9977,637123,35.4,52017,29797,97358,15.2808798,3.0333232
Kern, CA,2017,318,78,116,35.4053,-118.963,878744,31.3,50826,21716,191123,21.7495653,4.6750817
Fairfield, CT,2017,307,27,126,41.1723,-73.1966,947328,40.2,89773,53433,81422,8.5949112,4.1283484
Winnebago, IL,2017,299,20,126,42.2979,-89.1198,287512,39.6,51110,27297,43159,15.0111995,5.1211776
Dallas, TX,2017,297,152,182,32.7759,-96.8033,2552213,33.3,53626,29810,446611,17.4989705,3.0812867
Hennepin, MN,2017,289,45,131,44.9849,-93.2427,1224763,36.3,71154,41794,138478,11.306514,2.6651687
King, WA,2017,286,81,141,47.537,-122.275,2118119,37.2,83571,46316,212509,10.0329113,2.835818
Richmond, VA,2017,284,85,209,37.8494,-76.7181,220892,33.5,42356,30113,52942,23.9673687,4.7815222
Kings, NY,2017,279,70,184,40.6743,-74.0041,2635121,34.8,52782,29928,570731,21.6586259,4.0596238
San Bernardino, CA,2017,278,96,100,34.0706,-117.672,2121220,32.9,57156,22867,374810,17.6695487,4.4822791
East Baton Rouge, LA,2017,275,104,153,30.5845,-91.1177,446167,33.4,51436,30162,83483,18.7111552,3.5735498
Orange, FL,2017,274,72,167,28.5317,-81.4594,1290216,34.7,51586,27394,209366,16.2272054,3.6204015
New Castle, DE,2017,269,42,196,39.7576,-75.5016,555036,37.8,68336,34541,64082,11.5455574,3.3453686
Essex, MA,2017,247,18,46,42.7875,-71.0877,775860,40.8,73533,38604,82434,10.624855,3.2803599
Montgomery, OH,2017,246,44,116,39.7878,-84.212,531987,39.3,47045,27602,92085,17.3096335,3.9190807
Mobile, AL,2017,243,66,136,30.692,-88.0418,414328,37.3,45802,24347,78256,18.8874515,3.3734143
Oklahoma, OK,2017,240,78,116,35.5029,-97.5477,774203,34.4,50762,29127,128566,16.6062389,2.6007391
Mercer, NJ,2017,237,26,149,40.2042,-74.7389,373362,38.6,77027,40064,40450,10.8339895,3.9371977
Riverside, CA,2017,236,63,92,33.7586,-116.919,2355002,35,60807,25700,362215,15.3806663,4.5597838
Fresno, CA,2017,231,57,143,36.7256,-119.797,971616,31.8,48730,22234,243040,25.0139973,4.6638796
Essex, NJ,2017,228,77,122,40.7314,-74.174,800401,37.3,57365,35133,130583,16.3146973,5.4195335
Lake, IN,2017,228,65,161,41.4898,-87.4587,488694,38.6,52559,26590,80849,16.5438905,4.1260994
Caddo, LA,2017,218,50,167,32.4989,-93.7141,251069,37.1,40391,25565,57607,22.9446885,3.1517232
Erie, NY,2017,213,36,138,42.9185,-78.8521,923995,40.3,54006,31083,133648,14.4641475,2.8179806
Tarrant, TX,2017,210,106,119,32.5847,-97.077,1983675,34.2,62532,30857,264575,13.3376183,2.7845791
El Paso, CO,2017,205,38,104,38.8464,-104.723,674826,34,62535,31217,72699,10.7729993,3.267509
Hudson, NJ,2017,204,18,108,40.7149,-74.0689,679756,34.9,62681,35910,115254,16.9552016,3.9956985
Dane, WI,2017,198,11,46,43.033,-89.477,522837,34.8,67631,37193,63003,12.0502183,2.2383649
Hinds, MS,2017,193,60,125,32.3736,-90.1529,243249,34.2,41011,22397,56200,23.1038977,4.8098862
Bernalillo, NM,2017,192,70,74,35.0827,-106.704,674855,37.1,50386,28340,119697,17.736699,3.3165643
Charleston, SC,2017,192,46,79,32.9386,-80.0361,387847,37.2,57882,35587,57569,14.8432243,2.8250831
Multnomah, OR,2017,192,26,84,45.4972,-122.535,788459,36.8,60369,34848,126836,16.0865689,3.8359636
Fayette, KY,2017,191,22,103,38.0682,-84.5057,315109,34.3,53013,31653,56039,17.7840049,3.3359885
Hampden, MA,2017,188,20,58,42.1474,-72.5948,469188,38.7,52205,28072,78315,16.6916034,3.9706898
Sacramento, CA,2017,187,54,125,38.5796,-121.302,1495400,35.9,60239,29693,246203,16.464023,4.3182426
